Treatment,Treatment_t,Pattern_k,AE_type,AE_type_j,Phi_kj
AC,1,1,PTOSIS_1,668,1.30975778225373e-07
AC,1,1,CARDIOMYOPATHY_1,95,1.30975778225373e-07
AC,1,1,OLIGURIA_1,567,1.30975778225373e-07
AC,1,1,DYSAUTONOMIA_1,187,1.30975778225373e-07
AC,1,1,HAIR DIS_3,299,1.30975778225373e-07
AC,1,1,BONE DIS_1,80,1.30975778225373e-07
AC,1,1,EXTRASYSTOLES SUPVENT_1,263,1.30975778225373e-07
AC,1,1,EXTRASYSTOLES VENT_1,264,1.30975778225373e-07
AC,1,1,GOUT_1,298,1.30975778225373e-07
AC,1,1,HIRSUTISM_2,351,1.30975778225373e-07
AC,1,1,HYPOPROTEINEM_1,396,1.30975778225373e-07
AC,1,1,HYPOTHYR_2,402,1.30975778225373e-07
AC,1,1,HYPOVENTIL_1,404,1.30975778225373e-07
AC,1,1,THYR DIS_2,771,1.30975778225373e-07
AC,1,1,URETHRITIS_1,800,1.30975778225373e-07
AC,1,1,ABSCESS BREAST_2,3,1.30975778225373e-07
AC,1,1,ALKALOSIS RESP_1,17,1.30975778225373e-07
AC,1,1,BRADYCARDIA_1,81,1.30975778225373e-07
AC,1,1,CREATINE PK INC_4,141,1.30975778225373e-07
AC,1,1,ENCEPHALOPATHY_3,242,1.30975778225373e-07
AC,1,1,HEART ARREST_4,308,1.30975778225373e-07
AC,1,1,MIOSIS_1,507,1.30975778225373e-07
AC,1,1,MYOPATHY_3,531,1.30975778225373e-07
AC,1,1,PARALYSIS EXTRAOCUL_2,623,1.30975778225373e-07
AC,1,1,TENESMUS_3,751,1.30970946183142e-07
AC,1,1,TENESMUS_1,750,1.30941117739802e-07
AC,1,1,HEALING ABNORM_1,306,1.30899665363274e-07
AC,1,1,LYMPHADENO_1,479,1.30868929687069e-07
AC,1,1,VULVOVAGINITIS_2,842,1.30808854631517e-07
AC,1,1,RASH VESIC BULL_1,678,1.30783194925293e-07
AC,1,1,FLU SYND_2,274,1.30782157371343e-07
AC,1,1,PAIN BACK_1,582,1.30780367997105e-07
AC,1,1,PHLEB_1,639,1.30772233659965e-07
AC,1,1,NERVOUSNESS_1,551,1.30765706022888e-07
AC,1,1,LYMPHADENO_2,480,1.30722460827422e-07
AC,1,1,PAIN BACK_3,584,1.30722428347743e-07
AC,1,1,LEUKORRHEA_1,464,1.30705382864296e-07
AC,1,1,GGTP INC_1,286,1.30675307371001e-07
AC,1,1,HEALING ABNORM_2,307,1.30663807632218e-07
AC,1,1,LYMPHEDEMA_1,484,1.30636963166997e-07
AC,1,1,MENORRHAGIA_1,496,1.30636006624241e-07
AC,1,1,HYPERCHOLESTEREM_1,354,1.3063181388068e-07
AC,1,1,GGTP INC_2,287,1.30629620776492e-07
AC,1,1,PAIN BACK_2,583,1.30627929890796e-07
AC,1,1,INJURY ACCID_1,428,1.30619042816354e-07
AC,1,1,FLU SYND_3,275,1.30613354972119e-07
AC,1,1,PHLEB_2,640,1.30602678984315e-07
AC,1,1,TASTE PERVERS_1,748,1.30579274632473e-07
AC,1,1,PAIN EAR_1,598,1.30571830709177e-07
AC,1,1,NERVOUSNESS_2,552,1.30568875184756e-07
AC,1,1,CELLULITIS_1,100,1.30531596625685e-07
AC,1,1,RASH VESIC BULL_2,679,1.30519473271143e-07
AC,1,1,LYMPHEDEMA_2,485,1.30500573035542e-07
AC,1,1,LEUKORRHEA_2,465,1.30462575602762e-07
AC,1,1,MENORRHAGIA_2,497,1.3043528806837e-07
AC,1,1,LACRIMATION DIS_1,450,1.30420555791e-07
AC,1,1,INJURY ACCID_2,429,1.30406254517643e-07
AC,1,1,SALIVA INC_1,696,1.30404827104974e-07
AC,1,1,TASTE PERVERS_2,749,1.30404629344648e-07
AC,1,1,TASTE LOSS_1,746,1.30367089874313e-07
AC,1,1,CELLULITIS_2,101,1.30351453436704e-07
AC,1,1,ABSCESS PERIODONT_1,4,1.30348853892337e-07
AC,1,1,HYPERCHOLESTEREM_2,355,1.30342332406943e-07
AC,1,1,PAIN EAR_2,599,1.30333362654623e-07
AC,1,1,PAIN INJECT SITE_1,603,1.30311782710864e-07
AC,1,1,PHOTOPHOBIA_1,641,1.30269777264768e-07
AC,1,1,CELLULITIS_3,102,1.30231878411321e-07
AC,1,1,PANCYTOPENIA_3,619,1.30231087972054e-07
AC,1,1,LACRIMATION DIS_2,451,1.30224250331766e-07
AC,1,1,FLATUL_1,271,1.30222822060301e-07
AC,1,1,TASTE LOSS_2,747,1.30215894800141e-07
AC,1,1,HEM GUM_1,320,1.30211514875328e-07
AC,1,1,INJURY ACCID_3,430,1.3021146103647e-07
AC,1,1,SALIVA INC_2,697,1.30205253614794e-07
AC,1,1,MONILIA VAGINA_1,512,1.3020369487533e-07
AC,1,1,PAIN BREAST_1,592,1.30202669776592e-07
AC,1,1,PAIN INJECT SITE_2,604,1.30156087253643e-07
AC,1,1,SPEECH DIS_1,725,1.30135047826216e-07
AC,1,1,AMENORRHEA_1,25,1.30122432866865e-07
AC,1,1,DRY EYE_1,181,1.3010876556998e-07
AC,1,1,DYSMENORRHEA_1,188,1.30042013114007e-07
AC,1,1,AMENORRHEA_2,26,1.30034121119814e-07
AC,1,1,PHOTOPHOBIA_2,642,1.30027434024248e-07
AC,1,1,ABSCESS PERIODONT_2,5,1.3002425390269e-07
AC,1,1,FLATUL_2,272,1.3001451281356e-07
AC,1,1,PAIN BREAST_2,593,1.29973323156428e-07
AC,1,1,DRY MOUTH_1,183,1.29961944831243e-07
AC,1,1,ERUCTAT_1,254,1.299382410894e-07
AC,1,1,SPEECH DIS_2,726,1.29925179406782e-07
AC,1,1,PANCYTOPENIA_4,620,1.29915388147572e-07
AC,1,1,HEM GUM_2,321,1.29905737703983e-07
AC,1,1,ACNE_1,11,1.29895976700224e-07
AC,1,1,DRY EYE_2,182,1.29895733409159e-07
AC,1,1,MONILIA VAGINA_2,513,1.29890375405489e-07
AC,1,1,EPISTAXIS_1,252,1.29866774870418e-07
AC,1,1,ARTHRITIS RHEUMAT_1,56,1.29849963626091e-07
AC,1,1,NEOPL BREAST_1,544,1.2984553056447e-07
AC,1,1,APPETITE INC_1,42,1.29842644403905e-07
AC,1,1,THIRST_1,758,1.29841672805855e-07
AC,1,1,DYSMENORRHEA_2,189,1.29831413089502e-07
AC,1,1,BURSITIS_1,91,1.29823780617814e-07
AC,1,1,CHOLELITH_1,116,1.29819900559612e-07
AC,1,1,OTITIS MED_1,576,1.29810619949398e-07
AC,1,1,OSTEOPOROSIS FRACT_2,571,1.2980806497801e-07
AC,1,1,MONILIA VAGINA_3,514,1.2977261331863e-07
AC,1,1,PAIN KIDNEY_1,605,1.29765347589852e-07
AC,1,1,HEM UTER_1,326,1.29743148758625e-07
AC,1,1,ABSCESS PERIODONT_3,6,1.29734872071325e-07
AC,1,1,DRY MOUTH_2,184,1.29734830919317e-07
AC,1,1,MASTITIS_1,489,1.29722768707738e-07
AC,1,1,OSTEOPOROSIS FRACT_3,572,1.29721540290906e-07
AC,1,1,DYSURIA_1,204,1.29720337245083e-07
AC,1,1,TONGUE DIS_1,774,1.29718845704094e-07
AC,1,1,NODULE SKIN_1,563,1.29713041476896e-07
AC,1,1,THROMBOCYTOPENIA_1,763,1.29702896917086e-07
AC,1,1,SINUSITIS_1,711,1.29701350740941e-07
AC,1,1,ERUCTAT_2,255,1.29664006748084e-07
AC,1,1,URTICARIA_1,809,1.29658026324164e-07
AC,1,1,ACNE_2,12,1.29654416753884e-07
AC,1,1,BURSITIS_2,92,1.29628514261364e-07
AC,1,1,NEOPL BREAST_2,545,1.29618074500019e-07
AC,1,1,CHOLELITH_3,117,1.29611846551105e-07
AC,1,1,PAIN KIDNEY_2,606,1.29603646864137e-07
AC,1,1,EPISTAXIS_2,253,1.29595293152666e-07
AC,1,1,NOCTURIA_1,561,1.29588338865439e-07
AC,1,1,APPETITE INC_2,43,1.29579329463319e-07
AC,1,1,ARTHRITIS RHEUMAT_2,57,1.29570886736958e-07
AC,1,1,THIRST_2,759,1.2956389708881e-07
AC,1,1,OTITIS MED_2,577,1.29540443306488e-07
AC,1,1,SHOCK_1,709,1.2950626631037e-07
AC,1,1,HEM UTER_2,327,1.29486706205327e-07
AC,1,1,STUPOR_1,734,1.29474273750859e-07
AC,1,1,ECCHYMOSIS_1,208,1.29474206643929e-07
AC,1,1,ULCER SKIN_1,794,1.29473563294437e-07
AC,1,1,DYSURIA_2,205,1.29472057812813e-07
AC,1,1,HYPERTROPHY SKIN_1,377,1.29468934335746e-07
AC,1,1,URTICARIA_2,810,1.29453975003472e-07
AC,1,1,LACTATION FEM_1,452,1.29451886878449e-07
AC,1,1,EDEMA TONGUE_1,223,1.29449344510363e-07
AC,1,1,DERM FUNG_1,165,1.29444990615164e-07
AC,1,1,GASTROENTERITIS_1,283,1.29439497806468e-07
AC,1,1,VULVOVAGINAL DIS_1,839,1.29430755660097e-07
AC,1,1,SINUSITIS_2,712,1.29426163269437e-07
AC,1,1,THROMBOCYTOPENIA_2,764,1.29425049192347e-07
AC,1,1,TONGUE DIS_2,775,1.29416969726469e-07
AC,1,1,NODULE SKIN_2,564,1.29414313628564e-07
AC,1,1,OTITIS MED_3,578,1.29400858429318e-07
AC,1,1,ARTHRITIS_1,58,1.29400689857559e-07
AC,1,1,URIN URGENCY_1,807,1.29394355123902e-07
AC,1,1,KERATITIS_1,440,1.29392068624193e-07
AC,1,1,EAR DIS_1,206,1.29382691276612e-07
AC,1,1,MASTITIS_2,490,1.29363761810356e-07
AC,1,1,EDEMA FACE_1,214,1.29351736197619e-07
AC,1,1,INCONTIN URIN_1,411,1.29347042361739e-07
AC,1,1,SINUSITIS_3,713,1.2933539917502e-07
AC,1,1,PALPITAT_1,616,1.29320001525085e-07
AC,1,1,NOCTURIA_2,562,1.29317065935474e-07
AC,1,1,SKIN DRY_1,719,1.29312537333194e-07
AC,1,1,SHOCK_4,710,1.29267669156774e-07
AC,1,1,PAIN CHEST_1,595,1.29245177062775e-07
AC,1,1,HYPERTROPHY SKIN_2,378,1.29228713867797e-07
AC,1,1,DERM FUNG_2,166,1.29220602175682e-07
AC,1,1,LACTATION FEM_2,453,1.29219790035187e-07
AC,1,1,ARTHRITIS_2,59,1.29211345086785e-07
AC,1,1,BLEPHARITIS_1,75,1.29211296782621e-07
AC,1,1,PSORIASIS_1,665,1.29205265949207e-07
AC,1,1,MASTITIS_3,491,1.29205259236661e-07
AC,1,1,ULCER SKIN_2,795,1.29202263474481e-07
AC,1,1,EDEMA TONGUE_2,224,1.2919922441919e-07
AC,1,1,BREAST ENLARGE_1,84,1.29191081648402e-07
AC,1,1,ECCHYMOSIS_2,209,1.29189856680252e-07
AC,1,1,STUPOR_3,735,1.29164715602596e-07
AC,1,1,VULVOVAGINAL DIS_2,840,1.29162391467575e-07
AC,1,1,INFECT_1,416,1.29153666541715e-07
AC,1,1,INCONTIN URIN_2,412,1.29122770085014e-07
AC,1,1,URIN URGENCY_2,808,1.29110516809513e-07
AC,1,1,VOICE ALTERAT_1,833,1.29109547838691e-07
AC,1,1,LARYNGITIS_1,455,1.29094366533625e-07
AC,1,1,EAR DIS_2,207,1.29093269853317e-07
AC,1,1,KERATITIS_2,441,1.29091236188097e-07
AC,1,1,SKIN DISCOLOR_1,717,1.2908312133306e-07
AC,1,1,HEM CYSTITIS_1,313,1.29081658288492e-07
AC,1,1,AGITATION_1,14,1.29079178710788e-07
AC,1,1,SKIN DRY_2,720,1.29061023088017e-07
AC,1,1,GASTROENTERITIS_2,284,1.29058144762524e-07
AC,1,1,EDEMA FACE_2,215,1.29050209329114e-07
AC,1,1,PALPITAT_2,617,1.29020621164177e-07
AC,1,1,VAGINITIS_1,813,1.29011329557493e-07
AC,1,1,SPUTUM INC_1,727,1.29005363023789e-07
AC,1,1,HYPOKINESIA_1,389,1.29001602345075e-07
AC,1,1,PAIN BIL_1,585,1.28992065337275e-07
AC,1,1,HERNIA_1,342,1.28986052864283e-07
AC,1,1,POLYURIA_1,657,1.28983168782603e-07
AC,1,1,SLEEP DIS_1,721,1.2896849532811e-07
AC,1,1,BREAST ENLARGE_2,85,1.2896825458602e-07
AC,1,1,TINNITUS_1,772,1.28961294223802e-07
AC,1,1,PSORIASIS_2,666,1.28944302241285e-07
AC,1,1,GASTROENTERITIS_3,285,1.28940420880869e-07
AC,1,1,MONILIA_1,515,1.28934607782596e-07
AC,1,1,BLEPHARITIS_2,76,1.28928302049265e-07
AC,1,1,HEM CYSTITIS_3,314,1.2890827044268e-07
AC,1,1,PAIN CHEST_2,596,1.28901623460623e-07
AC,1,1,INFLAM INJECT SITE_1,421,1.28888601678804e-07
AC,1,1,PAIN PELVIC_1,609,1.28877204746084e-07
AC,1,1,PAIN_1,611,1.28872090259656e-07
AC,1,1,DYSPHAGIA_1,196,1.2883164712762e-07
AC,1,1,VOICE ALTERAT_2,834,1.28830292317554e-07
AC,1,1,AGITATION_2,15,1.28828272088002e-07
AC,1,1,LARYNGITIS_2,456,1.28820833759768e-07
AC,1,1,SKIN DISCOLOR_2,718,1.28811443689532e-07
AC,1,1,HYPERESTHESIA_1,356,1.28810392760464e-07
AC,1,1,TWITCH_1,785,1.28802126747699e-07
AC,1,1,VEIN VARICOSE_1,822,1.28801714084142e-07
AC,1,1,INFECT_2,417,1.28783101829772e-07
AC,1,1,PAIN BIL_3,587,1.28780623867033e-07
AC,1,1,JOINT DIS_1,438,1.28778857651899e-07
AC,1,1,FURUNCULOSIS_1,276,1.28771467724789e-07
AC,1,1,GI DIS_1,288,1.2876744207372e-07
AC,1,1,SOMNOLENCE_1,723,1.28759755263057e-07
AC,1,1,PAIN BIL_2,586,1.28740944473344e-07
AC,1,1,SPUTUM INC_2,728,1.28723870805295e-07
AC,1,1,MONILIA ORAL_1,509,1.28721770848393e-07
AC,1,1,LARYNGITIS_3,457,1.28719539972136e-07
AC,1,1,HYPOKINESIA_2,390,1.28711504853858e-07
AC,1,1,SLEEP DIS_2,722,1.28702983163999e-07
AC,1,1,VAGINITIS_2,814,1.28699983910865e-07
AC,1,1,HERNIA_2,343,1.28695732277142e-07
AC,1,1,BRONCHITIS_1,88,1.28688749369773e-07
AC,1,1,POLYURIA_2,658,1.28687774884463e-07
AC,1,1,INFLAM INJECT SITE_2,422,1.28681210754692e-07
AC,1,1,MIGRAINE_1,505,1.28677923525714e-07
AC,1,1,PAIN CHEST_3,597,1.28663255422759e-07
AC,1,1,PAIN NECK_1,607,1.28662328725584e-07
AC,1,1,TINNITUS_2,773,1.28661787458417e-07
AC,1,1,CYST_1,145,1.28661628426688e-07
AC,1,1,MONILIA_2,516,1.2864566127464e-07
AC,1,1,ENZYME ABNORM_1,250,1.28633184782917e-07
AC,1,1,PHOTOSENSITIVITY_1,643,1.28629339740872e-07
AC,1,1,OTITIS EXT_1,574,1.28617938391386e-07
AC,1,1,BLEPHARITIS_3,77,1.28613880522793e-07
AC,1,1,PAIN PELVIC_2,610,1.28598680366956e-07
AC,1,1,URIN FREQUENCY_1,802,1.28590034945945e-07
AC,1,1,PAIN ABDO_1,579,1.28562253969861e-07
AC,1,1,MENS DIS_1,498,1.28540803202303e-07
AC,1,1,HERPES ZOSTER_1,347,1.28530369233844e-07
AC,1,1,LIBIDO DEC_1,466,1.28520399138072e-07
AC,1,1,TWITCH_2,786,1.28519202307452e-07
AC,1,1,HYPERESTHESIA_2,357,1.28513494923175e-07
AC,1,1,VEIN VARICOSE_3,823,1.28504904213169e-07
AC,1,1,PAIN_2,612,1.28500302528445e-07
AC,1,1,HEM EYE_1,315,1.28499944284941e-07
AC,1,1,GASTRITIS_1,280,1.28497475022979e-07
AC,1,1,JOINT DIS_2,439,1.28496450680838e-07
AC,1,1,SOMNOLENCE_2,724,1.28485428108855e-07
AC,1,1,FURUNCULOSIS_2,277,1.2848210435091e-07
AC,1,1,EFFUS PLEURAL_1,234,1.28478913244084e-07
AC,1,1,GI DIS_2,289,1.28478087488763e-07
AC,1,1,CONSTIP_1,129,1.28474411106061e-07
AC,1,1,VITREOUS DIS_1,831,1.28459815298972e-07
AC,1,1,DYSPHAGIA_2,197,1.28458436330637e-07
AC,1,1,VAGINITIS_3,815,1.28451860692112e-07
AC,1,1,MUCOUS MEM DIS_1,521,1.28446657993679e-07
AC,1,1,INFECT_3,418,1.28443244088263e-07
AC,1,1,MIGRAINE_2,506,1.2843975387132e-07
AC,1,1,INFLAM INJECT SITE_3,423,1.28431684615679e-07
AC,1,1,LUNG DIS_1,476,1.2841950231361e-07
AC,1,1,CHEILITIS_1,108,1.28401858257435e-07
AC,1,1,ENZYME ABNORM_2,251,1.28385876901413e-07
AC,1,1,MONILIA ORAL_2,510,1.28385488845025e-07
AC,1,1,MONILIA_3,517,1.2838266112971e-07
AC,1,1,BREAST FIBROCYST_1,86,1.28382543725615e-07
AC,1,1,CYST_2,146,1.28382093930854e-07
AC,1,1,BRONCHITIS_2,89,1.28380080995424e-07
AC,1,1,PAIN NECK_2,608,1.28368167596399e-07
AC,1,1,THROMBOPHLEB DEEP_2,765,1.28356428803747e-07
AC,1,1,OTITIS EXT_2,575,1.28355918756436e-07
AC,1,1,LIVER FATTY_1,470,1.28340111620349e-07
AC,1,1,PHOTOSENSITIVITY_2,644,1.28332470340202e-07
AC,1,1,ENTEROCOL PSEUDOMEM_2,247,1.28316679620776e-07
AC,1,1,URIN FREQUENCY_2,803,1.28315166543109e-07
AC,1,1,HYPONATREM_1,394,1.28315136062641e-07
AC,1,1,PAIN_3,613,1.28308064022527e-07
AC,1,1,ESOPHAGITIS_1,259,1.28297537973331e-07
AC,1,1,HERPES SIMPLEX_1,344,1.28293024132797e-07
AC,1,1,HYPERVENTIL_2,379,1.2828530258711e-07
AC,1,1,INFECT URIN TRACT_1,413,1.28278729262456e-07
AC,1,1,INFECT_4,419,1.28272075887579e-07
AC,1,1,MONILIA ORAL_3,511,1.2827014152737e-07
AC,1,1,VERTIGO_1,824,1.28267450996384e-07
AC,1,1,REACT UNEVAL_1,683,1.28252571352664e-07
AC,1,1,LIBIDO DEC_2,467,1.2823621410847e-07
AC,1,1,CEREBROVASC ACCID_3,106,1.28235928173903e-07
AC,1,1,HEM EYE_2,316,1.28235511985255e-07
AC,1,1,MENS DIS_2,499,1.28214530289996e-07
AC,1,1,NEPHRITIS_1,549,1.28209354440412e-07
AC,1,1,PAIN ABDO_2,580,1.28207495289469e-07
AC,1,1,LDH INC_1,458,1.28206049648966e-07
AC,1,1,GASTRITIS_2,281,1.28198256751994e-07
AC,1,1,ATAXIA_1,71,1.28191147742018e-07
AC,1,1,EFFUS PLEURAL_2,235,1.2818430722423e-07
AC,1,1,VITREOUS DIS_2,832,1.28180222155269e-07
AC,1,1,BRONCHITIS_3,90,1.28174141666372e-07
AC,1,1,LUNG DIS_2,477,1.28166543487471e-07
AC,1,1,DYSPHAGIA_3,198,1.28160110555338e-07
AC,1,1,EDEMA CONJUNCT_1,212,1.28151941068299e-07
AC,1,1,HERPES ZOSTER_2,348,1.28135715392316e-07
AC,1,1,DIPLOPIA_1,174,1.28132619319425e-07
AC,1,1,OPHTHALMITIS_1,568,1.28130780770066e-07
AC,1,1,LEUKOPENIA_1,460,1.28125863464546e-07
AC,1,1,BREAST FIBROCYST_2,87,1.28120975295566e-07
AC,1,1,CHEILITIS_2,109,1.28114148515968e-07
AC,1,1,LIVER FATTY_3,471,1.28104816377463e-07
AC,1,1,CONSTIP_2,130,1.28097742005655e-07
AC,1,1,ENTEROCOL PSEUDOMEM_3,248,1.28079012211955e-07
AC,1,1,PAIN ABDO_3,581,1.28078059972614e-07
AC,1,1,MUCOUS MEM DIS_2,522,1.28074422902405e-07
AC,1,1,GAIT ABNORM_1,278,1.28073993323017e-07
AC,1,1,GASTRITIS_3,282,1.2807106447653e-07
AC,1,1,PRURITUS_1,662,1.28047937305448e-07
AC,1,1,HYPONATREM_3,395,1.28022985632782e-07
